Pal,Level,Skill
Croajiro,30,Geyser
Croajiro,40,Éclabousse-Mur
Croajiro,50,Hydro-Laser
Croajiro,70,Éruption Aquatique
Croajiro Noct,1,Tir Empoisonné
Croajiro Noct,7,Tir Obscur
Croajiro Noct,15,Flèche Noire
Croajiro Noct,22,Pluie Acide
Croajiro Noct,30,Balle Cauchemar
Croajiro Noct,40,Hydro Tranchant
Croajiro Noct,50,Laser Noir
Croajiro Noct,70,Légion Sombre
Herbil,1,Coupe-Rafale
Herbil,7,Mitraille-Graines
Herbil,15,Tornade Verte
Herbil,22,Lame Aérienne
Herbil,30,Volte-Feuille
Herbil,40,Feuille Ricochet
Herbil,50,Vent Croisé
Herbil,70,Rafale Vent
Teafant,1,Tir Aquatique
Teafant,7,Jet d'Eau
Teafant,15,Tir Boueux
Teafant,22,Tir Bulleux
Teafant,30,Pluie Acide
Teafant,40,Bombao
Teafant,50,Hydro-Laser
Teafant,70,Éruption Aquatique
Gumoss,1,Tir Boueux
Gumoss,7,Coupe-Rafale
Gumoss,15,Explosion Rocailleuse
Gumoss,22,Mitraille-Graines
Gumoss,30,Explose-Graines
Gumoss,40,Tornade de Sable
Gumoss,50,Rayon Solaire
Gumoss,70,Rafale Vent
Gumoss,1,Tir Boueux
Gumoss,7,Coupe-Rafale
Gumoss,15,Explosion Rocailleuse
Gumoss,22,Mitraille-Graines
Gumoss,30,Explose-Graines
Gumoss,40,Tornade de Sable
Gumoss,50,Rayon Solaire
Gumoss,70,Rafale Vent
Pupperai,1,Double Croc (Terra)
Pupperai,2,Croc Sauvage (Terra)
Pupperai,7,Explosion Rocailleuse
Pupperai,15,Taillade Vaillante
Pupperai,22,Canon à Pierre
Pupperai,30,Tornade de Sable
Pupperai,40,Lance-Roche
Pupperai,50,Tourbillon de Sable
Pupperai,70,Impact Rocheux
Clovee,1,Canon à Air
Clovee,7,Mitraille-Graines
Clovee,15,Explose-Graines
Clovee,22,Lame Aérienne
Clovee,30,Tornade Verte
Clovee,40,Rayon Solaire
Clovee,50,Vent Croisé
Clovee,70,Rafale Vent
Jolthog,1,Onde Électrique
Jolthog,7,Tir Puissant
Jolthog,15,Boule de Foudre
Jolthog,22,Boule d'Énergie
Jolthog,30,Triple Éclair
Jolthog,40,Éclair Horizontal
Jolthog,50,Éclair Fulgurant
Jolthog,70,Canon Fulgurant
Jolthog Cryst,1,Missile de Glace
Jolthog Cryst,7,Tir Puissant
Jolthog Cryst,15,Iceberg
Jolthog Cryst,22,Boule d'Énergie
Jolthog Cryst,30,Coupe-Glace
Jolthog Cryst,40,Souffle Givré
Jolthog Cryst,50,Morsure du Blizzard
Jolthog Cryst,70,Chute de Diamants
Depresso,1,Tir Empoisonné
Depresso,7,Tir Boueux
Depresso,15,Balle Sombre
Depresso,22,Missile de Glace
Depresso,30,Déchaînement d'Ombre
Depresso,40,Balle Cauchemar
Depresso,50,Laser Noir
Depresso,70,Légion Sombre
Pengullet,1,Missile de Glace
Pengullet,7,Jet d'Eau
Pengullet,15,Tir Aquatique
Pengullet,22,Coupe-Glace
Pengullet,30,Iceberg
Pengullet,40,Morsure du Blizzard
Pengullet,50,Hydro-Laser
Pengullet,70,Éruption Aquatique
Pengullet Lux,1,Lance Foudroyante
Pengullet Lux,7,Boule de Foudre
Pengullet Lux,15,Tir Bulleux
Pengullet Lux,22,Geyser
Pengullet Lux,30,Bombao
Pengullet Lux,40,Triple Étincelle
Pengullet Lux,50,Coup de Foudre
Pengullet Lux,70,Tempête Éclair
Penking,1,Tir Aquatique
Penking,7,Iceberg
Penking,15,Capitaine Glissade
Penking,22,Souffle Givré
Penking,30,Bombao
Penking,40,Morsure du Blizzard
Penking,50,Hydro-Laser
Penking,70,Éruption Aquatique
Penking Lux,1,Lance Foudroyante
Penking Lux,7,Orbes de Plasma
Penking Lux,15,Tir Bulleux
Penking Lux,22,Triple Étincelle
Penking Lux,30,Glissade Foudroyante
Penking Lux,40,Vague Scélérate
Penking Lux,50,Tempête Éclair
Penking Lux,70,Éruption Aquatique
Hoocrates,1,Canon à Air
Hoocrates,7,Balle Sombre
Hoocrates,15,Déchaînement d'Ombre
Hoocrates,22,Tornade de Sable
Hoocrates,30,Flamme Spirituelle
Hoocrates,40,Balle Cauchemar
Hoocrates,50,Laser Noir
Hoocrates,70,Légion Sombre
Melpaca,1,Canon à Air
Melpaca,7,Tacle Duveteux
Melpaca,15,Tir Boueux
Melpaca,22,Tir Puissant
Melpaca,30,Onde Électrique
Melpaca,40,Boule d'Énergie
Melpaca,50,Hyper Rayon
Melpaca,70,Explosion Sacrée
Kingpaca,1,Tir Boueux
Kingpaca,7,Tir Puissant
Kingpaca,15,Boule d'Énergie
Kingpaca,22,Presse Royale
Kingpaca,30,Triple Éclair
Kingpaca,40,Lance-Roche
Kingpaca,50,Hyper Rayon
Kingpaca,70,Explosion Sacrée
Kingpaca Cryst,1,Missile de Glace
Kingpaca Cryst,7,Coupe-Glace
Kingpaca Cryst,15,Iceberg
Kingpaca Cryst,22,Presse Royale
Kingpaca Cryst,30,Souffle Givré
Kingpaca Cryst,40,Bombao
Kingpaca Cryst,45,Presse Glaciale
Kingpaca Cryst,50,Morsure du Blizzard
Kingpaca Cryst,70,Chute de Diamants
Daedream,1,Balle Sombre
Daedream,7,Tir Empoisonné
Daedream,15,Déchaînement d'Ombre
Daedream,22,Souffle Givré
Daedream,30,Flamme Spirituelle
Daedream,40,Balle Cauchemar
Daedream,50,Laser Noir
Daedream,70,Légion Sombre
Tanzee,1,Coupe-Rafale
Tanzee,7,Tir Boueux
Tanzee,15,Mitraille-Graines
Tanzee,22,Explose-Graines
Tanzee,30,Canon à Pierre
Tanzee,40,Tornade Verte
Tanzee,50,Rayon Solaire
Tanzee,70,Rafale Vent
Tanzee Ignis,1,Tir Enflammé
Tanzee Ignis,7,Flammes Scindées
Tanzee Ignis,15,Trait de Feu
Tanzee Ignis,22,Mur de Flammes
Tanzee Ignis,30,Concentration de Flammes
Tanzee Ignis,40,Pluie Volcanique
Tanzee Ignis,50,Inferno
Tanzee Ignis,70,Boule Enflammée
Nox,1,Canon à Air
Nox,7,Balle Sombre
Nox,15,Déchaînement d'Ombre
Nox,22,Boule d'Énergie
Nox,30,Flamme Spirituelle
Nox,40,Balle Cauchemar
Nox,50,Laser Noir
Nox,70,Légion Sombre
Flambelle,1,Tir Enflammé
Flambelle,7,Flammes Scindées
Flambelle,15,Trait de Feu
Flambelle,22,Flamme Spirituelle
Flambelle,30,Tempête Ardente
Flambelle,40,Inferno
Flambelle,50,Boule Enflammée
Flambelle,70,Impact Rocheux
Rooby,1,Tir Enflammé
Rooby,7,Tir Puissant
Rooby,15,Flammes Scindées
Rooby,22,Trait de Feu
Rooby,30,Tempête Ardente
Rooby,40,Inferno
Rooby,50,Boule Enflammée
Rooby,70,Rafale Vent
Mau,1,Tir Boueux
Mau,7,Balle Sombre
Mau,15,Déchaînement d'Ombre
Mau,22,Tornade de Sable
Mau,30,Flamme Spirituelle
Mau,40,Balle Cauchemar
Mau,50,Laser Noir
Mau,70,Légion Sombre
Mau Cryst,1,Missile de Glace
Mau Cryst,7,Canon à Air
Mau Cryst,15,Tir Boueux
Mau Cryst,22,Coupe-Glace
Mau Cryst,30,Iceberg
Mau Cryst,40,Souffle Givré
Mau Cryst,50,Morsure du Blizzard
Mau Cryst,70,Chute de Diamants
Rushoar,1,Charge Furieuse
Rushoar,7,Tir Boueux
Rushoar,15,Tir Puissant
Rushoar,22,Explosion Rocailleuse
Rushoar,30,Boule d'Énergie
Rushoar,40,Lance-Roche
Rushoar,50,Hyper Rayon
Rushoar,70,Impact Rocheux
Foxparks,1,Tir Enflammé
Foxparks,7,Tir Boueux
Foxparks,15,Flammes Scindées
Foxparks,22,Trait de Feu
Foxparks,30,Souffle Enflammé
Foxparks,40,Flamme Spirituelle
Foxparks,50,Boule Enflammée
Foxparks,70,Météore Draconique
Foxparks Cryst,1,Missile de Glace
Foxparks Cryst,7,Jet d'Eau
Foxparks Cryst,15,Coupe-Glace
Foxparks Cryst,22,Iceberg
Foxparks Cryst,30,Souffle Givré
Foxparks Cryst,40,Grêle Tranchante
Foxparks Cryst,50,Morsure du Blizzard
Foxparks Cryst,70,Chute de Diamants
Killamari,1,Jet d'Eau
Killamari,7,Tir Empoisonné
Killamari,15,Balle Sombre
Killamari,22,Déchaînement d'Ombre
Killamari,30,Pluie Acide
Killamari,40,Balle Cauchemar
Killamari,50,Laser Noir
Killamari,70,Légion Sombre
Killamari Primo,1,Canon à Air
Killamari Primo,7,Tir Puissant
Killamari Primo,15,Tir Bulleux
Killamari Primo,22,Boule d'Énergie
Killamari Primo,30,Pluie Acide
Killamari Primo,40,Double-Aqua
Killamari Primo,50,Hydro-Laser
Killamari Primo,70,Explosion Sacrée
Fuddler,1,Tir Boueux
Fuddler,5,Fouission
Fuddler,7,Tir Puissant
Fuddler,15,Explosion Rocailleuse
Fuddler,22,Canon à Pierre
Fuddler,30,Boule d'Énergie
Fuddler,40,Tornade de Sable
Fuddler,50,Lance-Roche
Fuddler,70,Impact Rocheux
Eikthyrdeer,1,Tir Puissant
Eikthyrdeer,7,Corne Ascendante
Eikthyrdeer,15,Explosion Rocailleuse
Eikthyrdeer,22,Canon à Pierre
Eikthyrdeer,30,Boule d'Énergie
Eikthyrdeer,40,Lance-Roche
Eikthyrdeer,50,Hyper Rayon
Eikthyrdeer,70,Explosion Sacrée
Eikthyrdeer Terra,1,Tir Puissant
Eikthyrdeer Terra,7,Corne Ascendante
Eikthyrdeer Terra,15,Explosion Rocailleuse
Eikthyrdeer Terra,18,Corne Boueuse
Eikthyrdeer Terra,22,Canon à Pierre
Eikthyrdeer Terra,30,Boule d'Énergie
Eikthyrdeer Terra,40,Tornade de Sable
Eikthyrdeer Terra,50,Lance-Roche
Eikthyrdeer Terra,70,Impact Rocheux
Direhowl,1,Double Croc
Direhowl,2,Croc Sauvage
Direhowl,7,Tir Boueux
Direhowl,15,Canon à Air
Direhowl,22,Tir Puissant
Direhowl,30,Tir Enflammé
Direhowl,40,Boule d'Énergie
Direhowl,50,Hyper Rayon
Direhowl,70,Explosion Sacrée
Caprity,1,Coupe-Rafale
Caprity,7,Canon à Air
Caprity,15,Tir Boueux
Caprity,22,Tir Puissant
Caprity,30,Tornade Verte
Caprity,40,Lierre Rampant
Caprity,50,Rayon Solaire
Caprity,70,Rafale Vent
Caprity Noct,1,Nuage Toxique
Caprity Noct,7,Coupe-Rafale
Caprity Noct,15,Tir Empoisonné
Caprity Noct,22,Multi-Coupe
Caprity Noct,30,Douche Toxique
Caprity Noct,40,Lierre Circulaire
Caprity Noct,50,Laser Noir
Caprity Noct,70,Légion Sombre
Swee,1,Canon à Air
Swee,7,Missile de Glace
Swee,15,Coupe-Glace
Swee,22,Boule d'Énergie
Swee,30,Iceberg
Swee,40,Souffle Givré
Swee,50,Morsure du Blizzard
Swee,70,Chute de Diamants
Sweepa,1,Tir Puissant
Sweepa,7,Missile de Glace
Sweepa,15,Coupe-Glace
Sweepa,22,Iceberg
Sweepa,30,Souffle Givré
Sweepa,40,Hyper Rayon
Sweepa,50,Morsure du Blizzard
Sweepa,70,Chute de Diamants
Turtacle,1,Jet d'Eau
Turtacle,7,Tir Bulleux
Turtacle,15,Hydro-Tourbillon
Turtacle,22,Bombao
Turtacle,30,Double-Aqua
Turtacle,40,Hydro Tranchant
Turtacle,50,Hydro-Laser
Turtacle,70,Éruption Aquatique
Turtacle Terra,1,Tir Boueux
Turtacle Terra,7,Tir Bulleux
Turtacle Terra,15,Hydro-Tourbillon
Turtacle Terra,22,Bombao
Turtacle Terra,30,Tremblement
Turtacle Terra,40,Lance-Roche
Turtacle Terra,50,Impact Rocheux
Turtacle Terra,70,Éruption Aquatique
Hangyu,1,Tir Boueux
Hangyu,7,Canon à Air
Hangyu,15,Coupe-Rafale
Hangyu,22,Tir Puissant
Hangyu,30,Boule d'Énergie
Hangyu,40,Tornade de Sable
Hangyu,50,Lance-Roche
Hangyu,70,Impact Rocheux
Hangyu Cryst,1,Canon à Air
Hangyu Cryst,7,Missile de Glace
Hangyu Cryst,15,Tir Puissant
Hangyu Cryst,22,Coupe-Glace
Hangyu Cryst,30,Iceberg
Hangyu Cryst,40,Souffle Givré
Hangyu Cryst,50,Morsure du Blizzard
Hangyu Cryst,70,Chute de Diamants
Woolipop,1,Canon à Air
Woolipop,7,Tir Boueux
Woolipop,15,Tir Puissant
Woolipop,22,Coupe-Rafale
Woolipop,30,Tir Bulleux
Woolipop,40,Boule d'Énergie
Woolipop,50,Hyper Rayon
Woolipop,70,Explosion Sacrée
Woolipop Terra,1,Tir Boueux
Woolipop Terra,7,Explosion Rocailleuse
Woolipop Terra,15,Canon à Pierre
Woolipop Terra,22,Tornade de Sable
Woolipop Terra,30,Tremblement
Woolipop Terra,40,Lance-Roche
Woolipop Terra,50,Tourbillon de Sable
Woolipop Terra,70,Impact Rocheux
Mozzarina,1,Tir Puissant
Mozzarina,7,Tir Boueux
Mozzarina,15,Canon à Air
Mozzarina,22,Explosion Rocailleuse
Mozzarina,30,Canon à Pierre
Mozzarina,40,Boule d'Énergie
Mozzarina,50,Hyper Rayon
Mozzarina,70,Explosion Sacrée
Azurobe,1,Tir Aquatique
Azurobe,7,Canon Draconique
Azurobe,15,Tir Bulleux
Azurobe,22,Déchaînement Draconique
Azurobe,30,Souffle Draconique
Azurobe,40,Hydro-Laser
Azurobe,50,Météore Draconique
Azurobe,70,Éruption Aquatique
Azurobe Cryst,1,Missile de Glace
Azurobe Cryst,7,Déchaînement Draconique
Azurobe Cryst,15,Iceberg
Azurobe Cryst,22,Souffle Draconique
Azurobe Cryst,30,Souffle Givré
Azurobe Cryst,40,Canon Chargé
Azurobe Cryst,50,Chute de Diamants
Azurobe Cryst,70,Météore Draconique
Sparkit,1,Tir Étincelant
Sparkit,7,Tir Boueux
Sparkit,15,Onde Électrique
Sparkit,22,Boule de Foudre
Sparkit,30,Triple Éclair
Sparkit,40,Éclair Horizontal
Sparkit,50,Éclair Fulgurant
Sparkit,70,Canon Fulgurant
Kelpsea,1,Jet d'Eau
Kelpsea,7,Canon Draconique
Kelpsea,15,Tir Aquatique
Kelpsea,22,Tir Bulleux
Kelpsea,30,Boule d'Énergie
Kelpsea,40,Bombao
Kelpsea,50,Hydro-Laser
Kelpsea,70,Éruption Aquatique
Kelpsea Ignis,1,Tir Enflammé
Kelpsea Ignis,7,Canon Draconique
Kelpsea Ignis,15,Flammes Scindées
Kelpsea Ignis,22,Trait de Feu
Kelpsea Ignis,30,Déchaînement Draconique
Kelpsea Ignis,40,Souffle Enflammé
Kelpsea Ignis,50,Boule Enflammée
Kelpsea Ignis,70,Météore Draconique
Ribbuny,1,Canon à Air
Ribbuny,7,Tir Puissant
Ribbuny,15,Missile de Glace
Ribbuny,22,Morsure du Blizzard
Ribbuny,30,Boule d'Énergie
Ribbuny,40,Iceberg
Ribbuny,50,Hyper Rayon
Ribbuny,70,Explosion Sacrée
Ribbuny Botan,1,Coupe-Rafale
Ribbuny Botan,7,Tir Boueux
Ribbuny Botan,15,Mitraille-Graines
Ribbuny Botan,22,Explose-Graines
Ribbuny Botan,30,Tranche Venteuse
Ribbuny Botan,40,Lierre Circulaire
Ribbuny Botan,50,Rayon Solaire
Ribbuny Botan,70,Rafale Vent
Jelliette,1,Jet d'Eau
Jelliette,7,Tir Aquatique
Jelliette,15,Tir Bulleux
Jelliette,22,Bombao
Jelliette,30,Éclabousse-Mur
Jelliette,40,Hydro Tranchant
Jelliette,50,Vague Scélérate
Jelliette,70,Éruption Aquatique
Jellroy,1,Tir Empoisonné
Jellroy,7,Noirceur Expansive
Jellroy,15,Tir Bulleux
Jellroy,22,Flamme Spirituelle
Jellroy,30,Douche Toxique
Jellroy,40,Hydro Tranchant
Jellroy,50,Légion Sombre
Jellroy,70,Éruption Aquatique
Amione,1,Jet d'Eau
Amione,7,Tir Bulleux
Amione,15,Geyser
Amione,22,Double-Aqua
Amione,30,Hydro Tranchant
Amione,40,Hydro-Laser
Amione,50,Vague Scélérate
Amione,70,Éruption Aquatique
Gloopie,1,Jet d'Eau
Gloopie,7,Déchaînement d'Ombre
Gloopie,15,Fumée de Jais
Gloopie,22,Geyser
Gloopie,30,Balle Cauchemar
Gloopie,40,Double-Aqua
Gloopie,50,Hydro Tranchant
Gloopie,70,Légion Sombre
Gloopie Primo,1,Jet d'Eau
Gloopie Primo,7,Tir Puissant
Gloopie Primo,15,Fumée de Jais
Gloopie Primo,22,Lame Aérienne
Gloopie Primo,30,Hydro Tranchant
Gloopie Primo,40,Hydro-Laser
Gloopie Primo,50,Éruption Aquatique
Gloopie Primo,70,Explosion Sacrée
Galeclaw,1,Griffe Planante
Galeclaw,7,Canon à Air
Galeclaw,15,Tir Boueux
Galeclaw,22,Coupe-Rafale
Galeclaw,30,Tornade de Sable
Galeclaw,40,Tornade Verte
Galeclaw,50,Hyper Rayon
Galeclaw,70,Explosion Sacrée
Wispaw,1,Balle Sombre
Wispaw,7,Déchaînement d'Ombre
Wispaw,15,Flamme Spirituelle
Wispaw,22,Balle Cauchemar
Wispaw,30,Morsure du Blizzard
Wispaw,40,Apocalypse
Wispaw,50,Laser Noir
Wispaw,70,Légion Sombre
Nitewing,1,Canon à Air
Nitewing,7,Attaque Tornade
Nitewing,15,Coupe-Rafale
Nitewing,22,Boule d'Énergie
Nitewing,30,Tornade de Sable
Nitewing,40,Tornade Verte
Nitewing,50,Hyper Rayon
Nitewing,70,Explosion Sacrée
Tombat,1,Canon à Air
Tombat,7,Tir Empoisonné
Tombat,15,Balle Sombre
Tombat,22,Déchaînement d'Ombre
Tombat,30,Flamme Spirituelle
Tombat,40,Balle Cauchemar
Tombat,50,Laser Noir
Tombat,70,Légion Sombre
Tocotoco,1,Autodestruction
Tocotoco,7,Canon à Air
Tocotoco,15,Tir Puissant
Tocotoco,22,Autodestruction Ultime
Tocotoco,30,Tornade de Sable
Tocotoco,40,Boule d'Énergie
Tocotoco,50,Hyper Rayon
Tocotoco,70,Explosion Sacrée
Univolt,1,Tir Étincelant
Univolt,7,Onde Électrique
Univolt,11,Ruée Foudroyante
Univolt,15,Laser Chercheur
Univolt,22,Éclair Horizontal
Univolt,30,Triple Éclair
Univolt,40,Coup de Foudre
Univolt,50,Éclair Fulgurant
Univolt,70,Canon Fulgurant
Univolt Cryst,1,Missile de Glace
Univolt Cryst,7,Coupe-Glace
Univolt Cryst,15,Iceberg
Univolt Cryst,22,Mur de Glace
Univolt Cryst,30,Morsure du Blizzard
Univolt Cryst,40,Chute de Diamants
Univolt Cryst,50,Ère Glaciaire
Univolt Cryst,70,Ouraglace
Gobfin,1,Jet d'Eau
Gobfin,7,Tir Puissant
Gobfin,15,Tir Aquatique
Gobfin,22,Tir Bulleux
Gobfin,30,Coupe-Glace
Gobfin,40,Bombao
Gobfin,50,Hydro-Laser
Gobfin,70,Éruption Aquatique
Gobfin Ignis,1,Tir Enflammé
Gobfin Ignis,7,Tir Puissant
Gobfin Ignis,15,Flammes Scindées
Gobfin Ignis,22,Trait de Feu
Gobfin Ignis,30,Éclair Horizontal
Gobfin Ignis,40,Boule Enflammée
Gobfin Ignis,50,Inferno
Gobfin Ignis,70,Tempête Éclair
Loupmoon,1,Balle Sombre
Loupmoon,7,Griffe Sautée
Loupmoon,15,Déchaînement d'Ombre
Loupmoon,22,Coupe-Glace
Loupmoon,30,Flamme Spirituelle
Loupmoon,40,Balle Cauchemar
Loupmoon,50,Laser Noir
Loupmoon,70,Légion Sombre
Loupmoon Cryst,1,Missile de Glace
Loupmoon Cryst,7,Coupe-Glace
Loupmoon Cryst,15,Griffe Neigeuse
Loupmoon Cryst,22,Mur de Glace
Loupmoon Cryst,30,Grêle Tranchante
Loupmoon Cryst,40,Trident Glacé
Loupmoon Cryst,50,Morsure du Blizzard
Loupmoon Cryst,70,Chute de Diamants
Cawgnito,1,Canon à Air
Cawgnito,7,Balle Sombre
Cawgnito,15,Assaut Fantôme
Cawgnito,22,Déchaînement d'Ombre
Cawgnito,30,Flamme Spirituelle
Cawgnito,40,Balle Cauchemar
Cawgnito,50,Laser Noir
Cawgnito,70,Légion Sombre
Arsox,1,Tir Enflammé
Arsox,7,Corne Brûlante
Arsox,15,Flammes Scindées
Arsox,22,Trait de Feu
Arsox,30,Souffle Enflammé
Arsox,40,Inferno
Arsox,50,Boule Enflammée
Arsox,70,Impact Rocheux
Muffly,1,Canon à Air
Muffly,7,Coupe-Glace
Muffly,15,Lame Aérienne
Muffly,22,Souffle Givré
Muffly,30,Grêle Tranchante
Muffly,40,Trident Glacé
Muffly,50,Morsure du Blizzard
Muffly,70,Chute de Diamants
Bristla,1,Coupe-Rafale
Bristla,7,Mitraille-Graines
Bristla,15,Missile de Glace
Bristla,22,Tornade Verte
Bristla,30,Iceberg
Bristla,40,Lierre Rampant
Bristla,50,Rayon Solaire
Bristla,70,Rafale Vent
Cinnamoth,1,Canon à Air
Cinnamoth,7,Coupe-Rafale
Cinnamoth,15,Nuage Toxique
Cinnamoth,22,Tornade de Sable
Cinnamoth,30,Explose-Graines
Cinnamoth,40,Tornade Verte
Cinnamoth,50,Rayon Solaire
Cinnamoth,70,Rafale Vent
Puffolt,1,Double Croc (Fulgura)
Puffolt,2,Croc Sauvage (Fulgura)
Puffolt,7,Onde Électrique
Puffolt,15,Boule de Foudre
Puffolt,22,Triple Étincelle
Puffolt,30,Coup de Foudre
Puffolt,40,Éclair Fulgurant
Puffolt,50,Tonnerre Omniprésent
Puffolt,70,Canon Fulgurant
Elphidran,1,Canon Draconique
Elphidran,7,Déchaînement Draconique
Elphidran,15,Trait de Feu
Elphidran,22,Ouragan Mystique
Elphidran,30,Souffle Draconique
Elphidran,40,Hyper Rayon
Elphidran,50,Météore Draconique
Elphidran,70,Rafale Vent
Elphidran Aqua,1,Tir Aquatique
Elphidran Aqua,7,Canon Draconique
Elphidran Aqua,15,Déchaînement Draconique
Elphidran Aqua,22,Ouragan Mystique
Elphidran Aqua,30,Pluie Acide
Elphidran Aqua,40,Hydro-Laser
Elphidran Aqua,50,Météore Draconique
Elphidran Aqua,70,Éruption Aquatique
Vanwyrm,1,Canon à Air
Vanwyrm,7,Tir Enflammé
Vanwyrm,15,Flammes Scindées
Vanwyrm,22,Souffle Enflammé
Vanwyrm,26,Souffle Aérien
Vanwyrm,30,Balle Cauchemar
Vanwyrm,40,Boule Enflammée
Vanwyrm,50,Laser Noir
Vanwyrm,70,Légion Sombre
Vanwyrm Cryst,1,Canon à Air
Vanwyrm Cryst,7,Missile de Glace
Vanwyrm Cryst,15,Coupe-Glace
Vanwyrm Cryst,22,Souffle Givré
Vanwyrm Cryst,26,Tempête de Glace
Vanwyrm Cryst,30,Balle Cauchemar
Vanwyrm Cryst,40,Morsure du Blizzard
Vanwyrm Cryst,50,Laser Noir
Vanwyrm Cryst,70,Chute de Diamants
Felbat,1,Tir Empoisonné
Felbat,7,Balle Sombre
Felbat,15,Déchaînement d'Ombre
Felbat,22,Flamme Spirituelle
Felbat,30,Balle Cauchemar
Felbat,40,Inferno
Felbat,50,Laser Noir
Felbat,70,Légion Sombre
Vaelet,1,Nuage Toxique
Vaelet,7,Coupe-Rafale
Vaelet,15,Tir Empoisonné
Vaelet,22,Explose-Graines
Vaelet,30,Tornade Verte
Vaelet,40,Balle Cauchemar
Vaelet,50,Rayon Solaire
Vaelet,70,Rafale Vent
Beegarde,1,Canon à Air
Beegarde,7,Coupe-Rafale
Beegarde,11,Lance Aiguille
Beegarde,15,Sacrifice Ultime
Beegarde,22,Tir Empoisonné
Beegarde,30,Pluie Acide
Beegarde,40,Tornade Verte
Beegarde,50,Rayon Solaire
Beegarde,70,Rafale Vent
Elizabee,1,Canon à Air
Elizabee,7,Coupe-Rafale
Elizabee,15,Tir Empoisonné
Elizabee,22,Bâton Tournoyant
Elizabee,30,Tornade Verte
Elizabee,40,Lierre Rampant
Elizabee,50,Rayon Solaire
Elizabee,70,Rafale Vent
Lovander,1,Tir Puissant
Lovander,7,Tir Empoisonné
Lovander,15,Déchaînement d'Ombre
Lovander,22,Pluie Acide
Lovander,30,Boule d'Énergie
Lovander,35,Douche Toxique
Lovander,40,Autodestruction
Lovander,50,Hyper Rayon
Lovander,55,Laser Noir
Lovander,70,Légion Sombre
Grintale,1,Tir Boueux
Grintale,7,Tir Puissant
Grintale,15,Presse Féline
