Pal,Index,Primary Element,Secondary Element,Rarity,HP,Attack,Defense,Work Speed,Support,HP Lvl80 Min,HP Lvl80 Max,Attack Lvl80 Min,Attack Lvl80 Max,Defense Lvl80 Min,Defense Lvl80 Max,Combat Rating (/10),Role,Partner Skill,Passive Skill,Mountable,Source URL,Data Date
Turtacle,37,Water,,3,75,75,115,100,100,3900.0,4800.0,550.0,685.0,740.0,947.0,2.5,Tank,Support Pointu,,False,https://paldb.cc/fr/Turtacle,2026-08-06
Turtacle Terra,37,Water,Ground,4,85,85,125,100,100,4300.0,5320.0,610.0,763.0,800.0,1025.0,3.2,Tank,Support Brillant,,False,https://paldb.cc/fr/Turtacle_Terra,2026-08-06
Hangyu,38,Ground,,1,80,70,70,100,100,4100.0,5060.0,520.0,646.0,470.0,596.0,1.4,All-Rounder,Trapéziste,,False,https://paldb.cc/fr/Hangyu,2026-08-06
Hangyu Cryst,38,Ice,,2,80,80,70,100,100,4100.0,5060.0,580.0,724.0,470.0,596.0,1.7,All-Rounder,Trapéziste du Froid,,False,https://paldb.cc/fr/Hangyu_Cryst,2026-08-06
Woolipop,39,Neutral,,3,70,70,90,100,100,3700.0,4540.0,520.0,646.0,590.0,752.0,1.7,All-Rounder,Petit Bonbon,,False,https://paldb.cc/fr/Woolipop,2026-08-06
Woolipop Terra,39,Ground,,4,70,70,95,100,100,3700.0,4540.0,520.0,646.0,620.0,791.0,1.8,All-Rounder,Bonbon Amer,,False,https://paldb.cc/fr/Woolipop_Terra,2026-08-06
Mozzarina,40,Neutral,,2,90,50,80,100,100,4500.0,5580.0,400.0,490.0,530.0,674.0,1.1,Tank,Production de lait,,False,https://paldb.cc/fr/Mozzarina,2026-08-06
Azurobe,41,Water,Dragon,7,110,100,100,100,100,5300.0,6620.0,700.0,880.0,650.0,830.0,3.4,All-Rounder,Danse de l'eau,,True,https://paldb.cc/fr/Azurobe,2026-08-06
Azurobe Cryst,41,Ice,Dragon,8,115,105,105,100,100,5500.0,6880.0,730.0,919.0,680.0,869.0,3.7,All-Rounder,Danse Glagla,,True,https://paldb.cc/fr/Azurobe_Cryst,2026-08-06
Sparkit,42,Electric,,1,60,75,70,100,80,3300.0,4020.0,550.0,685.0,470.0,596.0,1.2,All-Rounder,Électricité Statique,,False,https://paldb.cc/fr/Sparkit,2026-08-06
Kelpsea,43,Water,,1,70,70,70,100,100,3700.0,4540.0,520.0,646.0,470.0,596.0,1.2,All-Rounder,Giclée d'eau,,False,https://paldb.cc/fr/Kelpsea,2026-08-06
Kelpsea Ignis,43,Fire,,2,70,70,70,100,100,3700.0,4540.0,520.0,646.0,470.0,596.0,1.2,All-Rounder,Jet de Lave,,False,https://paldb.cc/fr/Kelpsea_Ignis,2026-08-06
Ribbuny,44,Neutral,,1,75,65,70,100,100,3900.0,4800.0,490.0,607.0,470.0,596.0,1.1,All-Rounder,Princesse Lapinou Souriant,,False,https://paldb.cc/fr/Ribbuny,2026-08-06
Ribbuny Botan,44,Grass,,1,80,65,70,100,100,4100.0,5060.0,490.0,607.0,470.0,596.0,1.2,All-Rounder,Lapin Dézerbe,,False,https://paldb.cc/fr/Ribbuny_Botan,2026-08-06
Jelliette,45,Water,,3,75,90,70,100,100,3900.0,4800.0,640.0,802.0,470.0,596.0,1.9,Attacker,Largue-Jelliette,,False,https://paldb.cc/fr/Jelliette,2026-08-06
Jellroy,46,Water,Dark,3,90,75,75,100,100,4500.0,5580.0,550.0,685.0,500.0,635.0,1.8,All-Rounder,Largue-Jellroy,,False,https://paldb.cc/fr/Jellroy,2026-08-06
Amione,47,Water,,2,65,70,65,100,100,3500.0,4280.0,520.0,646.0,440.0,557.0,1.0,All-Rounder,Jumelage Magique,,False,https://paldb.cc/fr/Amione,2026-08-06
Gloopie,48,Water,Dark,5,70,85,70,100,100,3700.0,4540.0,610.0,763.0,470.0,596.0,1.7,All-Rounder,Tapette Princière,,False,https://paldb.cc/fr/Gloopie,2026-08-06
Gloopie Primo,48,Water,Neutral,6,75,85,70,100,100,3900.0,4800.0,610.0,763.0,470.0,596.0,1.7,All-Rounder,Princesse Ventouse,,False,https://paldb.cc/fr/Gloopie_Primo,2026-08-06
Galeclaw,49,Neutral,,2,75,85,60,100,100,3900.0,4800.0,610.0,763.0,410.0,518.0,1.5,Attacker,Monte-Galeclaw,,False,https://paldb.cc/fr/Galeclaw,2026-08-06
Wispaw,50,Dark,,5,85,95,70,100,100,4300.0,5320.0,670.0,841.0,470.0,596.0,2.2,Attacker,Félin Possédé,,False,https://paldb.cc/fr/Wispaw,2026-08-06
Nitewing,51,Neutral,,3,100,95,80,100,100,4900.0,6100.0,670.0,841.0,530.0,674.0,2.6,All-Rounder,Compagnon de Voyage,,True,https://paldb.cc/fr/Nitewing,2026-08-06
Tombat,52,Dark,,5,95,95,80,100,100,4700.0,5840.0,670.0,841.0,530.0,674.0,2.6,All-Rounder,Sixième Sens,,False,https://paldb.cc/fr/Tombat,2026-08-06
Tocotoco,53,Neutral,,1,60,75,70,100,70,3300.0,4020.0,550.0,685.0,470.0,596.0,1.2,All-Rounder,Lance-œufs Explosifs,,False,https://paldb.cc/fr/Tocotoco,2026-08-06
Univolt,54,Electric,,5,80,105,105,100,100,4100.0,5060.0,730.0,919.0,680.0,869.0,3.2,All-Rounder,Éclair Foudroyant,,True,https://paldb.cc/fr/Univolt,2026-08-06
Univolt Cryst,54,Ice,,6,80,105,110,100,100,4100.0,5060.0,730.0,919.0,710.0,908.0,3.3,All-Rounder,Conflit Polaire,,True,https://paldb.cc/fr/Univolt_Cryst,2026-08-06
Gobfin,55,Water,,2,90,90,75,100,100,4500.0,5580.0,640.0,802.0,500.0,635.0,2.2,All-Rounder,Squale Ronchon,,False,https://paldb.cc/fr/Gobfin,2026-08-06
Gobfin Ignis,55,Fire,,3,90,90,75,100,100,4500.0,5580.0,640.0,802.0,500.0,635.0,2.2,All-Rounder,Squale Ronchon,,False,https://paldb.cc/fr/Gobfin_Ignis,2026-08-06
Loupmoon,56,Dark,,3,80,100,80,100,100,4100.0,5060.0,700.0,880.0,530.0,674.0,2.5,Attacker,Grilles Scintillantes,,False,https://paldb.cc/fr/Loupmoon,2026-08-06
Loupmoon Cryst,56,Ice,,3,80,105,80,100,100,4100.0,5060.0,730.0,919.0,530.0,674.0,2.6,Attacker,Coup de Griffes Glacées,,False,https://paldb.cc/fr/Loupmoon_Cryst,2026-08-06
Cawgnito,57,Dark,,3,75,95,80,100,100,3900.0,4800.0,670.0,841.0,530.0,674.0,2.3,All-Rounder,Oiseau de Nuit,,False,https://paldb.cc/fr/Cawgnito,2026-08-06
Arsox,58,Fire,,4,85,95,95,100,100,4300.0,5320.0,670.0,841.0,620.0,791.0,2.8,All-Rounder,Chaleur Corporelle,,True,https://paldb.cc/fr/Arsox,2026-08-06
Muffly,59,Ice,,2,60,80,55,100,100,3300.0,4020.0,580.0,724.0,380.0,479.0,1.0,Attacker,Tourontoudou,,False,https://paldb.cc/fr/Muffly,2026-08-06
Bristla,60,Grass,,1,80,80,80,100,100,4100.0,5060.0,580.0,724.0,530.0,674.0,1.9,All-Rounder,Regard de Princesse,,False,https://paldb.cc/fr/Bristla,2026-08-06
Cinnamoth,61,Grass,,4,70,80,80,100,100,3700.0,4540.0,580.0,724.0,530.0,674.0,1.7,All-Rounder,Écailles Mystérieuses,,False,https://paldb.cc/fr/Cinnamoth,2026-08-06
Puffolt,62,Electric,,2,75,80,70,100,100,3900.0,4800.0,580.0,724.0,470.0,596.0,1.6,All-Rounder,Poussée Crépitante,,False,https://paldb.cc/fr/Puffolt,2026-08-06
Elphidran,63,Dragon,,7,110,80,90,100,100,5300.0,6620.0,580.0,724.0,590.0,752.0,2.5,All-Rounder,Dragon Sacré au Grand Cœur,,True,https://paldb.cc/fr/Elphidran,2026-08-06
Elphidran Aqua,63,Dragon,Water,8,115,80,95,100,100,5500.0,6880.0,580.0,724.0,620.0,791.0,2.7,All-Rounder,Dragon Aquatique au Grand Cœur,,True,https://paldb.cc/fr/Elphidran_Aqua,2026-08-06
Vanwyrm,64,Fire,Dark,5,90,115,90,100,100,4500.0,5580.0,790.0,997.0,590.0,752.0,3.3,Attacker,Assaillant Céleste,,True,https://paldb.cc/fr/Vanwyrm,2026-08-06
Vanwyrm Cryst,64,Ice,Dark,5,90,120,95,100,100,4500.0,5580.0,820.0,1036.0,620.0,791.0,3.6,Attacker,Assaillant Céleste,,True,https://paldb.cc/fr/Vanwyrm_Cryst,2026-08-06
Felbat,65,Dark,,6,100,105,110,100,110,4900.0,6100.0,730.0,919.0,710.0,908.0,3.6,All-Rounder,Vol de vie,,False,https://paldb.cc/fr/Felbat,2026-08-06
Vaelet,66,Grass,,8,100,100,120,100,100,4900.0,6100.0,700.0,880.0,770.0,986.0,3.7,All-Rounder,Purification Tellurique,,False,https://paldb.cc/fr/Vaelet,2026-08-06
Beegarde,67,Grass,,4,80,90,90,100,100,4100.0,5060.0,640.0,802.0,590.0,752.0,2.4,All-Rounder,Abeille Ouvrière,,False,https://paldb.cc/fr/Beegarde,2026-08-06
Elizabee,68,Grass,,8,90,105,100,100,100,4500.0,5580.0,730.0,919.0,650.0,830.0,3.2,All-Rounder,Reine des Abeilles,,False,https://paldb.cc/fr/Elizabee,2026-08-06
Lovander,69,Dark,,5,120,70,70,100,140,5700.0,7140.0,520.0,646.0,470.0,596.0,1.9,All-Rounder,Draine-Cœur,Anormal,False,https://paldb.cc/fr/Lovander,2026-08-06
Grintale,70,Neutral,,6,110,80,80,100,100,5300.0,6620.0,580.0,724.0,530.0,674.0,2.3,All-Rounder,Œil de Lynx,,True,https://paldb.cc/fr/Grintale,2026-08-06
Tarantriss,71,Dark,,3,110,100,100,100,100,5300.0,6620.0,700.0,880.0,650.0,830.0,3.4,All-Rounder,Toile de Tarantriss,,True,https://paldb.cc/fr/Tarantriss,2026-08-06
Polapup,72,Ice,Water,5,95,105,105,100,100,4700.0,5840.0,730.0,919.0,680.0,869.0,3.4,All-Rounder,Dévale Montagne,,True,https://paldb.cc/fr/Polapup,2026-08-06
Polapup Terra,72,Ice,Ground,6,95,105,110,100,100,4700.0,5840.0,730.0,919.0,710.0,908.0,3.5,All-Rounder,Dévale-Montagne,,True,https://paldb.cc/fr/Polapup_Terra,2026-08-06
Leezpunk,73,Dark,,2,80,80,50,100,100,4100.0,5060.0,580.0,724.0,350.0,440.0,1.2,Attacker,Camouflage,,False,https://paldb.cc/fr/Leezpunk,2026-08-06
Leezpunk Ignis,73,Fire,,3,80,80,50,100,100,4100.0,5060.0,580.0,724.0,350.0,440.0,1.2,Attacker,Camouflage,,False,https://paldb.cc/fr/Leezpunk_Ignis,2026-08-06
Gorirat,74,Neutral,,5,90,95,90,100,100,4500.0,5580.0,670.0,841.0,590.0,752.0,2.7,All-Rounder,Mode Enragé,Trouble-Fête,False,https://paldb.cc/fr/Gorirat,2026-08-06
Gorirat Terra,74,Ground,,5,90,100,90,100,100,4500.0,5580.0,700.0,880.0,590.0,752.0,2.9,All-Rounder,Bras de Gorille Ultime,Trouble-Fête,False,https://paldb.cc/fr/Gorirat_Terra,2026-08-06
Surfent,75,Water,,4,90,90,80,100,100,4500.0,5580.0,640.0,802.0,530.0,674.0,2.3,All-Rounder,Fouisseur Furtif,,True,https://paldb.cc/fr/Surfent,2026-08-06
Surfent Terra,75,Ground,,5,90,90,100,100,100,4500.0,5580.0,640.0,802.0,650.0,830.0,2.8,All-Rounder,Fouisseur des Sables,,True,https://paldb.cc/fr/Surfent_Terra,2026-08-06
Robinquill,76,Grass,,5,90,105,80,100,100,4500.0,5580.0,730.0,919.0,530.0,674.0,2.8,Attacker,Maître Archer,,False,https://paldb.cc/fr/Robinquill,2026-08-06
Robinquill Terra,76,Grass,Ground,6,90,105,80,100,100,4500.0,5580.0,730.0,919.0,530.0,674.0,2.8,Attacker,Archer d’Elite,,False,https://paldb.cc/fr/Robinquill_Terra,2026-08-06
Flopie,77,Grass,,1,75,65,70,100,100,3900.0,4800.0,490.0,607.0,470.0,596.0,1.1,All-Rounder,Lapin Serviable,,False,https://paldb.cc/fr/Flopie,2026-08-06
Wixen,78,Fire,,6,90,110,80,100,120,4500.0,5580.0,760.0,958.0,530.0,674.0,2.9,Attacker,Maître Renard,,False,https://paldb.cc/fr/Wixen,2026-08-06
Wixen Noct,78,Fire,Dark,6,90,110,85,100,120,4500.0,5580.0,760.0,958.0,560.0,713.0,3.0,Attacker,Grand Renard Noir,,False,https://paldb.cc/fr/Wixen_Noct,2026-08-06
Katress,79,Dark,,6,90,105,90,100,100,4500.0,5580.0,730.0,919.0,590.0,752.0,3.0,All-Rounder,Étrange Sorcellerie,,False,https://paldb.cc/fr/Katress,2026-08-06
Katress Ignis,79,Dark,Fire,6,95,105,90,100,100,4700.0,5840.0,730.0,919.0,590.0,752.0,3.1,All-Rounder,Passion Magie Noire,,False,https://paldb.cc/fr/Katress_Ignis,2026-08-06
Helzephyr,80,Dark,,7,100,125,100,100,100,4900.0,6100.0,850.0,1075.0,650.0,830.0,4.0,Attacker,Ailes des Enfers,,True,https://paldb.cc/fr/Helzephyr,2026-08-06
Helzephyr Lux,80,Dark,Electric,8,105,125,100,100,100,5100.0,6360.0,850.0,1075.0,650.0,830.0,4.1,Attacker,Ailes Foudroyantes,,True,https://paldb.cc/fr/Helzephyr_Lux,2026-08-06
Elgrove,81,Grass,,6,110,105,105,100,100,5300.0,6620.0,730.0,919.0,680.0,869.0,3.6,All-Rounder,Menace Naturelle,,False,https://paldb.cc/fr/Elgrove,2026-08-06
Elgrove Cryst,81,Ice,,7,120,100,105,100,100,5700.0,7140.0,700.0,880.0,680.0,869.0,3.6,All-Rounder,Pergélisol Menaçant,,False,https://paldb.cc/fr/Elgrove_Cryst,2026-08-06
Lunaris,82,Neutral,,6,90,100,90,100,100,4500.0,5580.0,700.0,880.0,590.0,752.0,2.9,All-Rounder,Antigravité,,False,https://paldb.cc/fr/Lunaris,2026-08-06
Fenglope,83,Neutral,,3,110,110,90,100,100,5300.0,6620.0,760.0,958.0,590.0,752.0,3.4,All-Rounder,Vent et Nuages,,True,https://paldb.cc/fr/Fenglope,2026-08-06
Fenglope Lux,83,Electric,,3,110,115,90,100,100,5300.0,6620.0,790.0,997.0,590.0,752.0,3.6,Attacker,Nuage d'Orage,,True,https://paldb.cc/fr/Fenglope_Lux,2026-08-06
Dinossom,84,Grass,Dragon,6,110,85,90,100,150,5300.0,6620.0,610.0,763.0,590.0,752.0,2.7,All-Rounder,Dragon Fleurissant,,True,https://paldb.cc/fr/Dinossom,2026-08-06
Dinossom Lux,84,Electric,Dragon,7,110,90,90,100,150,5300.0,6620.0,640.0,802.0,590.0,752.0,2.8,All-Rounder,Dragon Orageux,,True,https://paldb.cc/fr/Dinossom_Lux,2026-08-06
Bushi,85,Fire,,7,80,125,80,100,100,4100.0,5060.0,850.0,1075.0,530.0,674.0,3.2,Attacker,Flash Furtif,,False,https://paldb.cc/fr/Bushi,2026-08-06
Bushi Noct,85,Fire,Dark,7,80,130,80,100,100,4100.0,5060.0,880.0,1114.0,530.0,674.0,3.4,Attacker,Flash Furtif Inversé,,False,https://paldb.cc/fr/Bushi_Noct,2026-08-06
Munchill,86,Ice,Water,3,75,80,85,100,100,3900.0,4800.0,580.0,724.0,560.0,713.0,1.9,All-Rounder,Entrailles Glacées,,False,https://paldb.cc/fr/Munchill,2026-08-06
Mammorest,87,Grass,Ground,8,150,85,90,100,30,6900.0,8700.0,610.0,763.0,590.0,752.0,3.3,All-Rounder,Broyeur Tellurique,Poids Lourd,True,https://paldb.cc/fr/Mammorest,2026-08-06
Mammorest Cryst,87,Ice,Ground,9,150,85,90,100,30,6900.0,8700.0,610.0,763.0,590.0,752.0,3.3,All-Rounder,Broyeur à Glace,Poids Lourd,True,https://paldb.cc/fr/Mammorest_Cryst,2026-08-06
Finsider,88,Water,,3,75,85,80,100,100,3900.0,4800.0,610.0,763.0,530.0,674.0,2.0,All-Rounder,Aqua-Gâchette,,False,https://paldb.cc/fr/Finsider,2026-08-06
Finsider Ignis,88,Water,Fire,4,75,90,80,100,100,3900.0,4800.0,640.0,802.0,530.0,674.0,2.1,All-Rounder,Chambre de Braises,,False,https://paldb.cc/fr/Finsider_Ignis,2026-08-06
Petallia,89,Grass,,8,100,95,100,100,100,4900.0,6100.0,670.0,841.0,650.0,830.0,3.1,All-Rounder,Bénédiction Florale,,False,https://paldb.cc/fr/Petallia,2026-08-06
Petallia Ignis,89,Grass,Fire,9,95,105,100,100,100,4700.0,5840.0,730.0,919.0,650.0,830.0,3.3,All-Rounder,Ferveur Florale,,False,https://paldb.cc/fr/Petallia_Ignis,2026-08-06
Leafan,90,Grass,,7,100,115,95,100,100,4900.0,6100.0,790.0,997.0,620.0,791.0,3.6,All-Rounder,Abnégation,,False,https://paldb.cc/fr/Leafan,2026-08-06
Incineram,91,Fire,Dark,4,95,100,85,100,100,4700.0,5840.0,700.0,880.0,560.0,713.0,2.8,All-Rounder,Chasseur aux Griffes Ardentes,,False,https://paldb.cc/fr/Incineram,2026-08-06
Incineram Noct,91,Dark,,5,95,105,85,100,100,4700.0,5840.0,730.0,919.0,560.0,713.0,3.0,All-Rounder,Chasseur aux Griffes Noires,,False,https://paldb.cc/fr/Incineram_Noct,2026-08-06
Dazzi,92,Electric,,2,70,80,70,100,100,3700.0,4540.0,580.0,724.0,470.0,596.0,1.5,All-Rounder,Fille de la Foudre,,False,https://paldb.cc/fr/Dazzi,2026-08-06
